County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Longitude,Latitude,,Street Address
Kings,751256,Store,A,18 AVE ORGANIC 1 CORP,18 AVE ORGANIC 1,6902,18TH AVE,,,BROOKLYN,NY,11204,0,-73.992615,40.616723,,6902 18TH AVE
Kings,751253,Store,A,KING CENTRAL CONVENIENCE CORP,KING CENTRAL CONVENIENC,427,CENTRAL AVENUE,,,BROOKLYN,NY,11221,0,-73.915361,40.692512,,427 CENTRAL AVENUE
Kings,751243,Store,JAC,WILD SUSHI CORP,WILD SUSHI,72,WYCKOFF AVE,,,BROOKLYN,NY,11237,0,-73.920139,40.704871,,72 WYCKOFF AVE
Bronx,751242,Store,JAC,IGNITE USA INC,PELHAM SUPERMARKET,706,LYDIG AVE,,,BRONX,NY,10462,0,-73.86733,40.854494,,706 LYDIG AVE
Bronx,751235,Store,A,HOBART SMOKE SHOP & GROCERY INC,HOBART SMOKE SHOP & GRO,1823A,HOBART AVENUE,,,BRONX,NY,10461,0,-73.831428,40.847897,,1823A HOBART AVENUE
Kings,751229,Store,JAC,SISTER SEAFOOD CORP,OMEGA SEA WORLD,93,ROCKAWAY PARKWAY,,,BROOKLYN,NY,11212,0,-73.923441,40.664102,,93 ROCKAWAY PARKWAY
Richmond,751227,Store,JAC,NEW SANTINOS GOURMET DELI CORP,NEW SANTINOS GOURMET DE,409,FOREST AVE,,,STATEN ISLAND,NY,10301,0,-74.103015,40.630882,,409 FOREST AVE
Bronx,751226,Store,JAC,Y&J LARA GROCERY CORP,Y&J LARA GROCERY,3945,CARPENTER AVE,,,BRONX,NY,10466,0,-73.863784,40.88791,,3945 CARPENTER AVE
Kings,751223,Store,JAC,ZAHRA HALAL MEAT I CORP,ZAHRA HALAL MEAT,6926,5TH  AVE,,,BROOKLYN,NY,11209,0,-74.021251,40.632887,,6926 5TH  AVE
New York,751216,Store,JAC,HAMS CATERING INC,HAMS CATERING,1446,2ND AVE,,,NEW YORK,NY,10075,20,-73.956272,40.771653,,1446 2ND AVE
New York,751215,Store,JAC,JINGRI INC,JINGRI,1507,YORK AVE,,,NEW YORK,NY,10075,20,-73.950044,40.771923,,1507 YORK AVE
Kings,751213,Store,A,URBAN MARKET CORP,URBAN MARKET,1212,AVENUE M,,,BROOKLYN,NY,11230,1500,-73.962115,40.617771,,1212 AVENUE M
Kings,751212,Store,JAC,SHLOMS HEIMISH CORPORATION,SHLOMIES BAKE SHOP,744,BEDFORD AVENUE,,,BROOKLYN,NY,11205,0,-73.956925,40.69843,,744 BEDFORD AVENUE
Bronx,751211,Store,JAC,JORDAN DELICATE DELI CORP,JORDAN DELICATE DELI,211,ST ANNS AVENUE,,,BRONX,NY,10454,1000,,,,211 ST ANNS AVENUE
Kings,751209,Store,JAC,ONE MART NOSTRAND AVE CORP,ONE MART NOSTRAND AVE,3600,NOSTRAND AVE,,,BROOKLYN,NY,11229,0,-73.941071,40.596164,,3600 NOSTRAND AVE
Bronx,751208,Store,JAC,BUENA VISTA DELI CORP,BUENA VISTA DELI,650,PROSPECT AVE,,,BRONX,NY,10455,0,-73.903405,40.815271,,650 PROSPECT AVE
Bronx,751207,Store,JAC,MI CHAPINCITA QUETZAL CORP,MI CHAPINCITA QUETZAL,1093,SOUTHERN BLVD,,,BRONX,NY,10459,0,-73.892004,40.825872,,1093 SOUTHERN BLVD
New York,751206,Store,JAC,ALBARONCIO INC,VIA DELLA SCROFA,60,E 4TH STREET,,,NEW YORK,NY,10004,0,-73.990639,40.726701,,60 E 4TH STREET
Kings,751203,Store,JAC,KHALED DELI GROCERY CORP,KHALED DELI GROCERY,1502,NEPTUNE AVE,,,BROOKLYN,NY,11224,0,-73.98327,40.579147,,1502 NEPTUNE AVE
New York,751202,Store,JAC,CITI DELI CORP,CITI DELI,606,9TH AVE,,,NEW YORK,NY,10036,0,-73.992,40.759288,,606 9TH AVE
Richmond,751201,Store,JAC,GRAND CENTRAL SI LLC,MATAMOROS DELI MARKET,533,PORT RICHMOND AVE,,,STATEN ISLAND,NY,10302,0,-74.140327,40.629882,,533 PORT RICHMOND AVE
Kings,751200,Store,JAC,MANNYS DELI & GRILL CORP,MANNYS DELI & GRILL,92,MANHATTAN AVE,,,BROOKLYN,NY,11206,0,-73.944603,40.705379,,92 MANHATTAN AVE
New York,751199,Store,JAC,1185 CAFE LLC,SIMON SIPS,1185,6TH AVE,,,NEW YORK,NY,10036,0,-73.981978,40.757773,,1185 6TH AVE
Kings,751193,Store,JAC,SAM NATURAL DELI CORP,SAM NATURAL DELI,281,NOSTRAN AVE,,,BROOKLYN,NY,11216,0,-73.95129,40.688979,,281 NOSTRAN AVE
